id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
90909103	nag_mortarch_arkhan	0	0		none	wh2_dlc09_uniform_tmb_arkhan			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_lord_hu1_arkhan_staff_and_sword	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909104	nag_mortarch_krell	0	0		none	nag_mortarch_krell			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_settra_2handed_halberd	cam_heavy_ship_01	cam_heavy_ship_01		0	0	0
90909105	nag_mortarch_neferata	0	0		none	nag_mortarch_neferata			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_lord_hu1b_def_staff_and_sword	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909106	nag_mortarch_isabella	0	0		none	nag_mortarch_isabella			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1b_vampire_sword	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909107	nag_morghasts_archai	0	0		none	nag_morghasts_archai			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu12_minotaur_2handed_axe	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909108	nag_tomb_prince_01	0	0		none	wh2_dlc09_uniform_tmb_tomb_prince_01			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_lord_hu1_tomb_halberd_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909109	nag_tomb_prince_02	0	0		none	wh2_dlc09_uniform_tmb_tomb_prince_02			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_lord_hu1_tomb_halberd_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909110	nag_tomb_prince_03	0	0		none	wh2_dlc09_uniform_tmb_tomb_prince_03			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_lord_hu1_tomb_halberd_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909111	nag_tomb_prince_04	0	0		none	wh2_dlc09_uniform_tmb_tomb_prince_04			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_lord_hu1_tomb_halberd_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909112	nag_tomb_prince_05	0	0		none	wh2_dlc09_uniform_tmb_tomb_prince_05			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_lord_hu1_tomb_halberd_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909113	nag_liche_priest_01	0	0		none	wh2_dlc09_uniform_tmb_liche_priest_campaign_01			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01		44	0	0
90909114	nag_liche_priest_02	0	0		none	wh2_dlc09_uniform_tmb_liche_priest_campaign_02			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01		44	0	0
90909115	nag_liche_priest_03	0	0		none	wh2_dlc09_uniform_tmb_liche_priest_campaign_03			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01		44	0	0
90909116	nag_liche_priest_04	0	0		none	wh2_dlc09_uniform_tmb_liche_priest_campaign_04			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01		44	0	0
90909117	nag_liche_priest_05	0	0		none	wh2_dlc09_uniform_tmb_liche_priest_campaign_05			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01		44	0	0
90909118	nag_vampire_01	0	0		none	wh_main_uniform_vmp_vampire_campaign_01			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1b_vampire_sword	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909119	nag_vampire_02	0	0		none	wh_main_uniform_vmp_vampire_campaign_02			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1b_vampire_sword	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909120	nag_vampire_03	0	0		none	wh_main_uniform_vmp_vampire_campaign_03			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1b_vampire_sword	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909121	nag_vampire_alt_01	0	0		none	wh_main_uniform_vmp_vampire_campaign_01			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1b_vampire_sword	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909122	nag_vampire_alt_02	0	0		none	wh_main_uniform_vmp_vampire_campaign_02			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1b_vampire_sword	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909123	nag_vampire_alt_03	0	0		none	wh_main_uniform_vmp_vampire_campaign_03			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1b_vampire_sword	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909124	nag_wight_king_01	0	0		none	wh_main_uniform_vmp_wight_king_campaign_01			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909125	nag_wight_king_02	0	0		none	wh_main_uniform_vmp_wight_king_campaign_02			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909126	nag_wight_king_03	0	0		none	wh_main_uniform_vmp_wight_king_campaign_03			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909127	nag_wight_king_04	0	0		none	wh_main_uniform_vmp_wight_king_campaign_04			wh_main_campaign_vmp_ship_light	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01		0	0	0
90909128	nag_gunnery_wight_01	0	0		none	wh2_dlc11_uniform_cst_gunnery_wight_campaign_01			wh2_dlc11_campaign_cst_ship_agent	wh2_dlc11_campaign_cst_ship_agent	cam_hero_hu1_cst_gunnery_rifle	cam_cst_transport_ship_01	cam_cst_transport_ship_01		0	0	0
90909129	nag_gunnery_wight_02	0	0		none	wh2_dlc11_uniform_cst_gunnery_wight_campaign_02			wh2_dlc11_campaign_cst_ship_agent	wh2_dlc11_campaign_cst_ship_agent	cam_hero_hu1_cst_gunnery_rifle	cam_cst_transport_ship_01	cam_cst_transport_ship_01		0	0	0
90909130	nag_traitor_king_shambling_horde_01	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_01			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909131	nag_traitor_king_shambling_horde_02	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_02			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909132	nag_traitor_king_shambling_horde_03	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_03			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909133	nag_traitor_king_shambling_horde_04	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_04			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909134	nag_traitor_king_shambling_horde_05	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_05			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
