key	tech_category_tab	encyclopedia_group	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander
nag_outpost_secondary_syphon			money	false	nag_outpost_secondary_syphon		3	
nag_outpost_secondary_energy			money	false	nag_outpost_secondary_energy		4	
nag_settlement_cavalry			military	false	nag_sch_settlement_cavalry		2	
nag_settlement_chariots			military	false	nag_sch_settlement_chariots		0	
nag_settlement_citadel			military	false	nag_sch_settlement_citadel		13	
nag_settlement_defence_major			military	false	nag_sch_settlement_defence_major		9	
nag_settlement_estate			money	false	nag_sch_settlement_estate		14	
nag_settlement_growth			money	false	nag_sch_settlement_growth		11	
nag_settlement_hierotitan			military	false	nag_sch_settlement_hierotitan		8	
nag_settlement_income			money	false	nag_sch_settlement_income		12	
nag_settlement_infantry			military	false	nag_sch_settlement_infantry		1	
nag_settlement_necrosphinx			military	false	nag_sch_settlement_necrosphinx		7	
nag_settlement_scorpions			military	false	nag_sch_settlement_scorpions		5	
nag_settlement_ushabti			military	false	nag_sch_settlement_ushabti		4	
nag_settlement_warsphinx			military	false	nag_sch_settlement_warsphinx		6	
nag_resource_gemstones			money	false	wh2_main_sch_human_resource_gems		10	
nag_resource_obsidian			money	false	wh2_main_sch_resource_obsidian		10	
nag_resource_dyes			money	false	wh_main_sch_human_resource_dyes		10	
nag_resource_furs			money	false	wh_main_sch_human_resource_furs		10	
nag_resource_gold			money	false	wh_main_sch_human_resource_gold		10	
nag_resource_iron			money	false	wh_main_sch_human_resource_iron		10	
nag_resource_marble			money	false	wh_main_sch_human_resource_marble		10	
nag_resource_pottery			money	false	wh_main_sch_human_resource_pottery		10	
nag_resource_salt			money	false	wh_main_sch_human_resource_salt		10	
nag_resource_timber			money	false	wh_main_sch_human_resource_timber		10	
nag_resource_wine			money	false	wh_main_sch_human_resource_wine		10	
