event	group	target	flavour_text	image	secondary_detail	layout	layout_data	sound_event	context_located	override_icon
agent_action_vs_army	wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/army_morale_up	wh_event_feed_string_agent_action_assassinate_critical_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent	
agent_action_vs_army	wh2_dlc09_event_feed_agent_action_all_failure_critical_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_army_critical_failure_theirs	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target_general	
agent_action_vs_army	wh2_dlc09_event_feed_agent_action_all_failure_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_army_failure_theirs	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target_general	
agent_action_vs_army	wh2_dlc09_event_feed_agent_action_all_hinder_army_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/army_morale_down	wh_event_feed_string_agent_action_army_success_theirs	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general	
agent_action_vs_army	wh2_dlc09_event_feed_agent_action_all_hinder_character_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/funeral	wh_event_feed_string_agent_action_assassinate_success_theirs	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_agent	
agent_action_vs_army	wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/funeral	wh_event_feed_string_agent_action_assassinate_critical_success_theirs	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target	
agent_action_vs_character	wh2_dlc09_event_feed_agent_action_all_failure_critical_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_assassinate_critical_failure	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_agent	
agent_action_vs_character	wh2_dlc09_event_feed_agent_action_all_failure_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_assassinate_failure	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_agent	
agent_action_vs_character	wh2_dlc09_event_feed_agent_action_all_hinder_character_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/army_morale_up	wh_event_feed_string_agent_action_assassinate_success	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent	
agent_action_vs_character	wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/army_morale_up	wh_event_feed_string_agent_action_assassinate_critical_success	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent	
agent_action_vs_character	wh2_dlc09_event_feed_agent_action_all_failure_critical_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_assassinate_critical_failure_theirs	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target	
agent_action_vs_character	wh2_dlc09_event_feed_agent_action_all_failure_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_assassinate_failure_theirs	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target	
agent_action_vs_character	wh2_dlc09_event_feed_agent_action_all_hinder_character_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/funeral	wh_event_feed_string_agent_action_assassinate_success_theirs	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_agent	
agent_action_vs_character	wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/funeral	wh_event_feed_string_agent_action_assassinate_critical_success_theirs	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target	
agent_action_vs_immortal_character	wh2_dlc09_event_feed_agent_action_all_failure_critical_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_assassinate_critical_failure	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_agent	
agent_action_vs_immortal_character	wh2_dlc09_event_feed_agent_action_all_failure_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_assassinate_failure	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_agent	
agent_action_vs_immortal_character	wh2_dlc09_event_feed_agent_action_all_hinder_character_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/army_morale_up	wh_event_feed_string_agent_action_assassinate_success	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent	
agent_action_vs_immortal_character	wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/army_morale_up	wh_event_feed_string_agent_action_assassinate_critical_success	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent	
agent_action_vs_immortal_character	wh2_dlc09_event_feed_agent_action_all_failure_critical_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_assassinate_critical_failure_theirs	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target	
agent_action_vs_immortal_character	wh2_dlc09_event_feed_agent_action_all_failure_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_assassinate_failure_theirs	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target	
agent_action_vs_immortal_character	wh2_dlc09_event_feed_agent_action_all_hinder_character_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/funeral	wh_event_feed_string_agent_action_assassinate_success_theirs	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_agent	
agent_action_vs_immortal_character	wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/funeral	wh_event_feed_string_agent_action_assassinate_critical_success_theirs	agent_targets_character	event_feed_layout_data_agent_targets_character	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target	
agent_action_vs_settlement	wh2_dlc09_event_feed_agent_action_all_failure_critical_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_settlement_critical_failure	agent_targets_settlement	event_feed_layout_data_agent_targets_settlement	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	
agent_action_vs_settlement	wh2_dlc09_event_feed_agent_action_all_failure_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_settlement_failure	agent_targets_settlement	event_feed_layout_data_agent_targets_settlement	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	
agent_action_vs_settlement	wh2_dlc09_event_feed_agent_action_all_hinder_settlement_nagash	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/settlement_lost	wh_event_feed_string_agent_action_settlement_success	agent_targets_settlement	event_feed_layout_data_agent_targets_settlement	UI_CAM_POPUP_Message_Event_Positive	event_feed_none	
agent_action_vs_settlement	wh2_dlc09_event_feed_agent_action_all_failure_critical_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_settlement_critical_failure_theirs	agent_targets_settlement	event_feed_layout_data_agent_targets_settlement	UI_CAM_POPUP_Message_Event_Positive	event_feed_none	
agent_action_vs_settlement	wh2_dlc09_event_feed_agent_action_all_failure_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/messenger	wh_event_feed_string_agent_action_settlement_failure_theirs	agent_targets_settlement	event_feed_layout_data_agent_targets_settlement	UI_CAM_POPUP_Message_Event_Positive	event_feed_none	
agent_action_vs_settlement	wh2_dlc09_event_feed_agent_action_all_hinder_settlement_nagash	event_feed_target_target_faction	wh_event_feed_string_all_null	tmb/settlement_lost	wh_event_feed_string_agent_action_settlement_success_theirs	agent_targets_settlement	event_feed_layout_data_agent_targets_settlement	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	
