event	group	target	flavour_text	image	secondary_detail	layout	layout_data	sound_event	context_located	override_icon	instant_open
character_trait_gained	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/generic	wh_event_feed_string_character_trait_gained_secondary_detail	trait_ancillary_gained	event_feed_layout_data_trait_gained	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_character		false
character_trait_lost	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/generic	wh_event_feed_string_character_trait_lost_secondary_detail	trait_ancillary_gained	event_feed_layout_data_trait_gained	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_character		false
character_wounded	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/land_defeat	wh_event_feed_string_character_wounded_description	hostile_action	event_feed_layout_data_character_wounded	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
conquest_enemy_raid_settlement	nag_event_feed	event_feed_target_raided_faction	wh_event_feed_string_all_null	mixer_nag_nagash/besieged	wh_event_feed_string_conquest_enemy_raid_secondary_detail	hostile_action	event_feed_layout_data_conquest_enemy_raid_settlement	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_raider_general		false
conquest_province_contested	nag_event_feed	event_feed_target_owner	wh_event_feed_string_all_null	mixer_nag_nagash/land_victory	wh_event_feed_string_conquest_province_contested_description	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_contesting_region_province		false
conquest_province_secured	nag_event_feed	event_feed_target_province_faction	wh_event_feed_string_all_null	mixer_nag_nagash/politics	wh_event_feed_string_conquest_province_secured_description	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
conquest_sea_region_contested	nag_event_feed	event_feed_target_owner	wh_event_feed_string_all_null	mixer_nag_nagash/blockaded	wh_event_feed_string_conquest_sea_region_contested_description	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_settlement_captured_region_province		false
conquest_sea_region_controlled	nag_event_feed	event_feed_target_owner	wh_event_feed_string_all_null	mixer_nag_nagash/blockaded	wh_event_feed_string_conquest_sea_region_controlled_description	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_settlement_captured_region_province		false
conquest_settlement_capital_captured	nag_event_feed	event_feed_target_conquest_captured_from	wh_event_feed_string_all_null	mixer_nag_nagash/settlement_lost	wh_event_feed_string_conquest_capital_lost_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
conquest_settlement_capital_captured	nag_event_feed	event_feed_target_conquest_occupier_faction	wh_event_feed_string_all_null	mixer_nag_nagash/army_morale_up	wh_event_feed_string_conquest_settlement_captured_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
conquest_settlement_captured	nag_event_feed	event_feed_target_conquest_captured_from	wh_event_feed_string_all_null	mixer_nag_nagash/settlement_lost	wh_event_feed_string_conquest_settlement_lost_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
conquest_settlement_captured	nag_event_feed	event_feed_target_conquest_occupier_faction	wh_event_feed_string_all_null	mixer_nag_nagash/army_morale_up	wh_event_feed_string_conquest_settlement_captured_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
conquest_settlement_surrender_warning	nag_event_feed	event_feed_target_settlement_faction	wh_event_feed_string_conquest_settlement_surrender_warning_description	mixer_nag_nagash/besieged	wh_event_feed_string_conquest_settlement_surrender_warning_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
conquest_siege_established	nag_event_feed	event_feed_target_conquest_besieged_faction	wh_event_feed_string_all_null	mixer_nag_nagash/nag_Settlement_Besieged	wh_event_feed_string_conquest_siege_established_secondary_detail_theirs	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
conquest_siege_established	nag_event_feed	event_feed_target_conquest_besieger_faction	wh_event_feed_string_all_null	mixer_nag_nagash/besieged	wh_event_feed_string_conquest_siege_established_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
conquest_siege_lifted	nag_event_feed	event_feed_target_conquest_besieged_faction	wh_event_feed_string_all_null	mixer_nag_nagash/besieged	wh_event_feed_string_conquest_siege_lifted_secondary_detail_theirs	hostile_action	event_feed_layout_data_conquest_siege_lifted	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
conquest_siege_lifted	nag_event_feed	event_feed_target_conquest_besieger_faction	wh_event_feed_string_all_null	mixer_nag_nagash/besieged	wh_event_feed_string_conquest_siege_lifted_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_faction_emerges	nag_event_feed	event_feed_target_faction_known_to	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_faction_emerges_description	faction	event_feed_layout_data_diplomacy_faction_destroyed	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_faction_joins_war	nag_event_feed	event_feed_target_diplomacy_war_faction_1_b	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_faction_joins_war_description_enemy	diplomacy_notification	event_feed_layout_data_diplomatic_war_faction_1_left_joining_faction_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_faction_joins_war	nag_event_feed	event_feed_target_diplomacy_war_faction_2	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_faction_joins_war_description_yours	diplomacy_notification	event_feed_layout_data_diplomatic_joining_faction_left_war_faction_1_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_region_trade	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_main_string_diplomacy_region_trade_description_actor	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_region_trade	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_main_string_diplomacy_region_trade_description_recipient	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_broken_defensive_alliance_manipulated	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_diplomacy_treaty_broken_defensive_alliance_manipulated_description	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_all_manipulated_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_defensive_alliance	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_defensive_alliance_description	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_treaty_broken_defensive_alliance	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_defensive_alliance_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_military_alliance_manipulated	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_diplomacy_treaty_broken_military_alliance_manipulated_description	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_all_manipulated_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_military_alliance	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_military_alliance_description	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_treaty_broken_military_alliance	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_military_alliance_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_non_aggression_pact_manipulated	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_diplomacy_treaty_broken_non_aggression_pact_manipulated_description	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_all_manipulated_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_non_aggression_pact	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_non_aggression_pact_description	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_treaty_broken_non_aggression_pact	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_non_aggression_pact_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_soft_military_access_manipulated	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_diplomacy_treaty_broken_military_access_pact_manipulated_description	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_all_manipulated_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_soft_military_access	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_military_access_pact_description	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_treaty_broken_trade_dissolved	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_trade_agreement_dissolved_description_theirs	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_treaty_broken_trade_dissolved	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_trade_agreement_dissolved_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_trade_manipulated	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_diplomacy_treaty_broken_trade_agreement_manipulated_description	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_all_manipulated_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_trade	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_trade_agreement_description	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_treaty_broken_trade	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_trade_agreement_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_vassal_manipulated	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_diplomacy_treaty_broken_vassal_manipulated_description	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_all_manipulated_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_vassal	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_vassal_description	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_treaty_broken_vassal	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_broken_vassal_description_them	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_treaty_negotiated_defensive_alliance	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_defensive_alliance_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_defensive_alliance	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_defensive_alliance_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_military_alliance	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_military_alliance_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_military_alliance	nag_event_feed	event_feed_target_diplomacy_known_to	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_military_alliance_description_theirs	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_military_alliance	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_military_alliance_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_non_aggression_pact	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_non_aggression_pact_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_non_aggression_pact	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_non_aggression_pact_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_peace	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_peace_description	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_peace	nag_event_feed	event_feed_target_diplomacy_known_to	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_peace_description_theirs	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_peace	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_peace_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_soft_military_access	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_military_access_pact_description	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_trade	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_trade_agreement_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_trade	nag_event_feed	event_feed_target_diplomacy_recipient	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_treaty_negotiated_trade_agreement_description	diplomacy_notification	event_feed_layout_data_diplomatic_recipient_left_actor_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_treaty_negotiated_vassal	nag_event_feed	event_feed_target_diplomacy_actor	wh_event_feed_string_diplomacy_treaty_negotiated_vassal_description	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_secondary_detail_recipient_region_province	diplomacy_notification	event_feed_layout_data_diplomatic_actor_left_recipient_right	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_trespassing	nag_event_feed	event_feed_target_faction	wh_event_feed_string_all_null	mixer_nag_nagash/messenger	wh_event_feed_string_diplomacy_trespassing_secondary_detail_theirs	hostile_action	event_feed_layout_data_diplomacy_trespassing	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_trespassing	nag_event_feed	event_feed_target_military_force_faction	wh_event_feed_string_all_null	mixer_nag_nagash/generic	wh_event_feed_string_diplomacy_trespassing_description	hostile_action	event_feed_layout_data_diplomacy_trespassing	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
diplomacy_war_coordination_defensive_target_force_invalidated	nag_event_feed	event_feed_target_ally	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_diplomacy_war_coordination_defensive_target_force_invalidated_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomacy_war_coordination_target_force_success	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_war_coordination_defensive_target_force_pursued	nag_event_feed	event_feed_target_ally	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_diplomacy_war_coordination_defensive_target_force_pursued_secondary_detail	faction	event_feed_layout_data_diplomacy_war_coordination_target_force_pursued	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_war_coordination_defensive_target_force_success	nag_event_feed	event_feed_target_ally	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_diplomacy_war_coordination_defensive_target_force_success_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomacy_war_coordination_target_force_success	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_war_coordination_defensive_target_region_invalidated	nag_event_feed	event_feed_target_ally	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_diplomacy_war_coordination_defensive_target_region_invalidated_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomacy_war_coordination_target_region_success	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_war_coordination_defensive_target_region_pursued	nag_event_feed	event_feed_target_ally	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_diplomacy_war_coordination_defensive_target_region_pursued_secondary_detail	faction	event_feed_layout_data_diplomacy_war_coordination_target_force_pursued	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_war_coordination_defensive_target_region_success	nag_event_feed	event_feed_target_ally	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_diplomacy_war_coordination_defensive_target_region_success_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomacy_war_coordination_target_region_success	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
diplomacy_war_coordination_target_available	nag_event_feed	event_feed_target_faction	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh_event_feed_string_diplomacy_war_coordination_target_available_description	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
diplomacy_war_coordination_target_force_invalidated	nag_event_feed	event_feed_target_ally	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_diplomacy_war_coordination_target_force_invalidated_secondary_detail	diplomacy_notification	event_feed_layout_data_diplomacy_war_coordination_target_force_success	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
