battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index
nag_shade_haunts_crew_cairn_wraith1	nag_shade_haunts	autonomous_rider	ap_cairn_wraith_0	-1
nag_shade_haunts_crew_cairn_wraith2	nag_shade_haunts	autonomous_rider	ap_cairn_wraith_1	-1
nag_virion_officer	nag_virion_plaguecart	autonomous_rider	ap_crewposition_0	-1
nag_undead_chariot_unit_archer	nag_undead_chariot_unit	autonomous_rider	ap_crewposition_0	-1
nag_undead_chariot_unit	nag_undead_chariot_unit	autonomous_rider	ap_crewposition_1	-1
wh2_dlc09_tmb_arkhan_chariot_steed1	nag_mortarch_arkhan_chariot	autonomous_rider	ap_horseposition_0	-1
wh2_dlc09_tmb_arkhan_chariot_steed2	nag_mortarch_arkhan_chariot	autonomous_rider	ap_horseposition_1	-1
wh2_dlc09_tmb_arkhan_chariot_steed3	nag_mortarch_arkhan_chariot	autonomous_rider	ap_horseposition_2	-1
wh2_dlc09_tmb_arkhan_chariot_steed4	nag_mortarch_arkhan_chariot	autonomous_rider	ap_horseposition_3	-1
wh2_dlc09_tmb_chariot_rider_0_arkhan	nag_mortarch_arkhan_chariot	autonomous_rider	ap_crewposition_0	-1
wh2_dlc09_tmb_chariot_rider_1_arkhan	nag_mortarch_arkhan_chariot	autonomous_rider	ap_crewposition_1	-1
wh2_dlc09_tmb_chariot_rider_0	nag_vanilla_tmb_veh_skeleton_archer_chariot_0	autonomous_rider	ap_crewposition_0	-1
wh2_dlc09_tmb_chariot_rider_1_archer	nag_vanilla_tmb_veh_skeleton_archer_chariot_0	autonomous_rider	ap_crewposition_1	-1
wh2_dlc09_tmb_chariot_rider_0	nag_vanilla_tmb_veh_skeleton_chariot_0	autonomous_rider	ap_crewposition_0	-1
wh2_dlc09_tmb_chariot_rider_1	nag_vanilla_tmb_veh_skeleton_chariot_0	autonomous_rider	ap_crewposition_1	-1
wh2_dlc09_tmb_casket_of_souls_rider1	nag_vanilla_tmb_art_casket_of_souls_0	autonomous_rider	ap_riderposition_0	-1
wh_dlc04_vmp_corpse_cart_rider1_master_necromancer	nag_master_necromancer_1	autonomous_rider	ap_crewposition_0	-1
wh_dlc04_vmp_corpse_cart_rider1_master_necromancer	nag_master_necromancer_2	autonomous_rider	ap_crewposition_0	-1
wh_dlc04_vmp_corpse_cart_rider1_master_necromancer	nag_master_necromancer_3	autonomous_rider	ap_crewposition_0	-1
wh_main_vmp_cha_vampire_lord_3	nag_vampire_lord_3	officer		-1
wh2_dlc11_cst_cha_luthor_harkon_1	nag_mortarch_luthor_terrorgheist	officer		-1
nag_hero_melee_summon	nag_hero_team_summon	officer		-1
nag_hero_mage_summon	nag_hero_team_summon	additional_officer		-1
nag_blood_beasts_2	nag_blood_beasts	officer		-1
nag_blood_beasts_3	nag_blood_beasts	additional_officer		-1
nag_doomed_legion_officer	nag_doomed_legion	officer		-1
wh2_dlc09_tmb_chariot_rider_0	nag_cha_tomb_prince_2	autonomous_rider	ap_crewposition_0	-1
wh2_dlc09_tmb_chariot_rider_1_prince	nag_cha_tomb_prince_2	autonomous_rider	ap_crewposition_1	-1
nag_hero_warsphinx_rider_0	nag_hero_warsphinx_summon	autonomous_rider	ap_crewposition_0	-1
nag_hero_warsphinx_rider_1	nag_hero_warsphinx_summon	autonomous_rider	ap_crewposition_1	-1
nag_hero_warsphinx_rider_2	nag_hero_warsphinx_summon	autonomous_rider	ap_crewposition_2	-1
nag_hero_warsphinx_rider_3	nag_hero_warsphinx_summon	autonomous_rider	ap_crewposition_3	-1
nag_neferata_abyssal	nag_mortarch_neferata_abyssal	officer		-1
nag_mannfred_abyssal	nag_mortarch_mannfred_abyssal	officer		-1
nag_arkhan_abyssal	nag_mortarch_arkhan_abyssal	officer		-1
wh2_dlc09_tmb_chariot_rider_0	nag_cha_tomb_king_2	autonomous_rider	ap_crewposition_0	-1
wh2_dlc09_tmb_chariot_rider_1_king	nag_cha_tomb_king_2	autonomous_rider	ap_crewposition_1	-1
wh2_dlc09_tmb_warsphinx_rider_tomb_king	nag_cha_tomb_king_3	officer	ap_crewposition_0	-1
