key	generate	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	trigger_radius	quest_character	quest_mission_final	sticky_by_default
nag_nagash_capture_settlement_lahmia	false	"Supreme Lord, your loyal servant Neferata has a singular goal retake the city of Lahmia, do this, restore the cult of blood and bring her unwavering focus towards your own plans."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	City of the Dawn	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_nagash_capture_settlement_awakening	false	"My sire, we have recieved a cryptic message from the port city of The Awakeing, we believe their leader Luthor Harkon would like to meet with you."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	City of Reawakening	MOVE_TO_REGION	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_nagash_capture_settlement_quintex	false	"My gracious Lord, in one of Luthors mad ramblings he mentioned a place of great power that will surely progress our completion of the Great Ritual, journey to the Titan Peaks, take the city of Quintex."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	The Ancient City	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_mortarch_luthor_unlock	false	"My sire, we have recieved a cryptic message from the port city of The Awakeing, we believe their leader Luthor Harkon would like to meet with you."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	City of Reawakening	MOVE_TO_PROVINCE	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_neferata_unlock	false	[PH - needs Advisor text] Restore the Audience Chamber and watch our worshippers flock to us		SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_krell_unlock	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_vlad_unlock	false	[PH - needs Advisor text] Vlad would make a powerful ally, find the Carstien Ring		HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_mannfred_unlock	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_arkhan_event_1	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_arkhan_event_2	false			RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_OF_SUBCULTURE	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_arkhan_event_3	false			ACHIEVE_CHARACTER_RANK	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_luthor_event_1	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_luthor_event_2	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_luthor_event_3	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_mannfred_event_1	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_mannfred_event_2	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_mannfred_event_3	false			ACHIEVE_CHARACTER_RANK	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_krell_event_1	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_krell_event_2	false			RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_krell_event_3	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_neferata_event_1	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_neferata_event_2	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_neferata_event_3	false			ACHIEVE_CHARACTER_RANK	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_vlad_event_1	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_vlad_event_2	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_mortarch_vlad_event_3	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
