unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
nag_mortarch_mannfred_warhorse		-1	lord	1	false	nag_mortarch_mannfred_warhorse	1	0	1200	wh_main_shp_transport	1	1	1	0	1300			325	heavy		false	false	0	10097	false		wh_main_vo_culture_Vampire	lord_wizard_vampires	lord_wizard_vampires	0	true	vamp_lord	wh_main_cam_mnt_vmp_barded_nightmare	true	false		1200.0	0.0	false	vo_culture_None	true	wh_main_vo_actor_Vampire_MannfredVonCarstein	0	true	false	0	false	false	
nag_mortarch_mannfred_abyssal		-1	lord	1	false	nag_mortarch_mannfred_abyssal	1	0	1840	wh_main_shp_transport	1	1	1	0	0			0	medium		false	false	0	700391768	false		wh_main_vo_culture_Vampire	lord_wizard_vampires	lord_wizard_vampires	0	true	vamp_lord	nag_cam_abyssal_ashigaroth	true	false		1000.0	0.0	true	vo_culture_None	true	wh_main_vo_actor_Vampire_MannfredVonCarstein	0	true	false	0	false	false	
nag_mortarch_luthor		-1	lord	1	false	nag_mortarch_luthor	1	0	900	wh_main_shp_transport	1	1	1	0	1000			250	medium		false	false	0	193777011	false		wh2_dlc11_vo_culture_Vampire_Coast	wh2_main_lord_infantry_hybrid	wh2_main_lord_infantry_hybrid	0	true	vamp_lord		true	false		500.0	400.0	false	vo_culture_None	true	wh2_dlc11_vo_actor_VampireCoast_Luthor_Harkon	0	true	false	1	false	false	
nag_mortarch_luthor_terrorgheist		-1	lord	1	false	nag_mortarch_luthor_terrorgheist	1	0	2400	wh_main_shp_transport	1	1	1	0	2300			575	heavy		false	false	0	523175327	false		wh2_dlc11_vo_culture_Vampire_Coast	wh2_main_lord_infantry_hybrid	wh2_main_lord_infantry_hybrid	0	true	vamp_lord	wh2_dlc11_cam_mnt_cst_terrorgheist	true	false		1900.0	500.0	true	vo_culture_Invalid	true	wh2_dlc11_vo_actor_VampireCoast_Luthor_Harkon	0	true	false	0	false	false	
nag_mortarch_arkhan		-1	lord	1	false	nag_mortarch_arkhan	1	0	1000	wh_main_shp_transport	1	1	1	0	0			0	medium		false	false	0	1202105519	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	lord_wizard_death	0	true	tmb_general		true	false		1100.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false	
nag_mortarch_arkhan_warhorse		-1	lord	1	false	nag_mortarch_arkhan_warhorse	1	0	1200	wh_main_shp_transport	1	1	1	0	0			0	medium		false	false	0	700391768	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	lord_wizard_death	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		1000.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false	
nag_mortarch_arkhan_chariot		-1	lord	1	false	nag_mortarch_arkhan_chariot	6	0	1400	wh_main_shp_transport	1	1	1	0	0			0	heavy		false	false	0	2075660816	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	lord_wizard_death	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_arkhan_chariot	true	false		1400.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false	
nag_mortarch_arkhan_abyssal		-1	lord	1	false	nag_mortarch_arkhan_abyssal	1	0	1840	wh_main_shp_transport	1	1	1	0	0			0	medium		false	false	0	700391768	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	lord_wizard_death	0	true	tmb_general	nag_cam_abyssal_razark	true	false		1000.0	0.0	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false	
nag_mortarch_isabella		-1	hero	1	false	nag_mortarch_isabella	1	0	950	wh_main_shp_transport	1	1	1	0	950			250	heavy		false	false	0	11937	false		wh_main_vo_culture_Vampire	wizard_vampires	wizard_vampires	0	true	vamp_lord		true	false		950.0	0.0	false	vo_culture_None	true	wh_pro02_vo_actor_Vampire_Isabella_Von_Carstein	0	true	false	0	false	false	
nag_mortarch_isabella_hellsteed		-1	hero	1	false	nag_mortarch_isabella_hellsteed	1	0	1400	wh_main_shp_transport	1	1	1	0	1300			325	heavy		false	false	0	11943	false		wh_main_vo_culture_Vampire	wizard_vampires	wizard_vampires	0	true	vamp_lord	wh_main_cam_mnt_vmp_hellsteed	true	false		1400.0	0.0	false	vo_culture_None	true	wh_pro02_vo_actor_Vampire_Isabella_Von_Carstein	0	true	false	0	false	false	
nag_mortarch_isabella_warhorse		-1	hero	1	false	nag_mortarch_isabella_warhorse	1	0	1200	wh_main_shp_transport	1	1	1	0	1100			275	heavy		false	false	0	11959	false		wh_main_vo_culture_Vampire	wizard_vampires	wizard_vampires	0	true	vamp_lord	wh_main_cam_mnt_vmp_barded_nightmare	true	false		1200.0	0.0	false	vo_culture_None	true	wh_pro02_vo_actor_Vampire_Isabella_Von_Carstein	0	true	false	0	false	false	
nag_morghasts		0	monstrous_infantry	3	false	nag_morghasts	8	0	1600	wh_main_shp_transport	1	1	4	0	0			0	heavy		false	false	0	2123862687	false		wh2_dlc09_vo_culture_Ushabti	wh2_dlc09_tmb_ushabti	wh2_dlc09_tmb_ushabti	3	false	tmb_ushabti		false	true		1600.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false	
nag_morghasts_archai		0	hero	3	false	nag_morghasts_archai	1	0	1666	wh_main_shp_transport	1	1	4	0	0			0	heavy		false	false	0	2123862687	false		wh2_dlc09_vo_culture_Ushabti	wh2_main_lzd_hero_champion	wh2_main_lzd_hero_champion	3	true	tmb_ushabti		true	false		1600.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false	
nag_nagashi_guard		0	melee_infantry	1	false	nag_nagashi_guard	120	0	950	wh_main_shp_transport	1	1	120	0	0			0	heavy		false	false	0	1326522992	true		wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword	infantry_sword	3	false	tmb_tomb_guard		false	true		750.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
nag_nagashi_guard_halb		0	melee_infantry	1	false	nag_nagashi_guard_halb	120	0	950	wh_main_shp_transport	1	1	120	0	0			0	heavy		false	false	0	1645496267	true		wh2_dlc09_vo_culture_Tomb_Kings	infantry_spear_halberd	infantry_spear_halberd	3	false	tmb_tomb_guard		false	true		850.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
nag_mortis_engine		0	chariot	3	false	nag_mortis_engine	18	0	1400	wh_main_shp_transport	1	1	1	0	1400			500	heavy		false	false	0	11250	true		wh_main_vo_culture_Vampire	magic_chariot	magic_chariot	4	true	default		true	false	composite_scene\porthole\mortis_engine_porthole_01.csc	1400.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_Vampire_Necromancer	0	true	false	3	false	false	
nag_bone_thrower		-1	warmachine	1	false	nag_bone_thrower	44	0	600	wh_main_shp_transport	1	1	5	0	600			150	very_heavy		false	false	0	11341	true		wh2_dlc09_vo_culture_Tomb_Kings	wh_dlc06_bolt_thrower	wh_dlc06_bolt_thrower	2	false	tmb_skeleton_warriors		false	true		55.0	495.0	true	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false	
nag_bone_golems		0	monstrous_infantry	3	false	nag_bone_golems	16	0	1100	wh_main_shp_transport	1	1	16	0	0			0	heavy		false	false	0	2123862687	true		wh2_dlc09_vo_culture_Ushabti	wh2_dlc09_tmb_ushabti	wh2_dlc09_tmb_ushabti	3	false	tmb_ushabti		false	true		900.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false	
nag_inf_zombie_construct		-1	melee_infantry	1	false	nag_inf_zombie_construct	160	0	100	wh_main_shp_transport	1	1	160	0	100			25	heavy		false	false	0	3794584100	true		wh_main_vo_culture_Zombie	infantry_sword	infantry_sword	1	false	vamp_zombie		false	true		50.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false	
nag_inf_crypt_ghouls_construct		-1	melee_infantry	1	false	nag_inf_crypt_ghouls_construct	120	0	500	wh_main_shp_transport	1	1	120	0	500			125	heavy		false	false	0	3794584101	true		wh_main_vo_culture_Crypt_Ghoul	vmp_crypt_ghouls	vmp_crypt_ghouls	2	false	vamp_ghoul		false	true		250.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false	
nag_mon_crypt_horrors_construct		-1	monstrous_infantry	2	false	nag_mon_crypt_horrors_construct	16	0	800	wh_main_shp_transport	1	1	16	0	800			200	heavy		false	false	0	3794584102	true		wh_main_vo_culture_Crypt_Horror	monstrous_infantry	monstrous_infantry	3	false	vamp_crypt_horror		false	true		400.0	0.0	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false	
nag_cav_hexwraiths_0_summon		0	melee_cavalry	3	false	nag_cav_hexwraiths_0_summon	60	0	1400	wh_main_shp_transport	1	1	60	0	0			350	heavy		false	false	0	7556	true		wh_main_vo_culture_Wraith	vmp_cavalry_scythe	vmp_cavalry_scythe	4	false	vamp_hex_wraith		false	true		1400.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
nag_cav_black_knights_0_summon		-1	melee_cavalry	1	false	nag_cav_black_knights_0_summon	60	0	750	wh_main_shp_transport	1	1	60	0	750			187	heavy		false	false	0	3794584104	true		wh_main_vo_culture_Skeleton	cavalry	cavalry	2	false	emp_reiksguard		false	true		750.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
nag_hero_team_summon		1	missile_infantry	1	false	nag_hero_team_summon	3	1	1050	wh_main_shp_transport	1	1	1	0	1000			0	heavy		false	false	0	3794584105	false		wh_main_vo_culture_Dwarf	dwf_master_engineer	dwf_master_engineer	0	true	dwf_warrior_30_degrees		true	false		400.0	750.0	false	vo_culture_None	true	wh_dlc06_vo_actor_Dwarf_MasterEngineer1Ghost	0	true	false	1	false	false	
nag_hero_warsphinx_summon		0	monster	3	false	nag_hero_warsphinx_summon	4	0	1800	wh_main_shp_transport	1	1	4	0	0			0	super_heavy		false	false	0	3794584106	true		wh2_dlc09_vo_culture_Warsphinx	wh2_dlc09_tmb_warsphinx	wh2_dlc09_tmb_warsphinx	5	true	tmb_warsphinx		true	false		1800.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	true	true	2	false	false	
nag_sand_crawlies		0	war_beast	1	false	nag_sand_crawlies	40	0	600	wh_main_shp_transport	1	1	80	0	0			0	heavy		false	false	0	1210430920	true		wh2_dlc09_vo_culture_Tomb_Kings_Dire_Wolf	war_beast	war_beast	1	false	vamp_dire_wolf		false	true		600.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false	
nag_carrion_riders		0	war_beast	1	false	nag_carrion_riders	24	0	800	wh_main_shp_transport	1	1	24	0	0			0	heavy		false	false	0	74316313491	true		wh_main_vo_culture_Wraith	cavalry_flying_scythe	cavalry_flying_scythe	4	false	tmb_carrion		false	true		425.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
nag_giant_spoop		0	monster	3	false	nag_giant_spoop	1	0	2000	wh_main_shp_transport	1	1	1	0	0			0	very_heavy		false	false	0	1256415718	true		wh2_dlc09_vo_culture_Heirotitan	wh2_dlc09_tmb_hierotitan	wh2_dlc09_tmb_hierotitan	5	true	tmb_hierotitan		true	false		2000.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false	
nag_bone_colossus		0	monster	3	false	nag_bone_colossus	1	0	2300	wh_main_shp_transport	1	1	1	0	2300			575	super_heavy		false	false	0	633036573	true		wh2_dlc15_vo_culture_Rogue_Idol	wh2_dlc15_rogue_idol	wh2_dlc15_rogue_idol	5	true	grn_gork_idol		true	false		2400.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	2	false	false	
nag_endless_tomb		0	warmachine	3	false	nag_endless_tomb	1	0	1600	wh_main_shp_transport	1	1	1	0	0			400	very_heavy		false	false	0	8669745876	true		wh_main_vo_culture_Vampire	magic_chariot	magic_chariot	5	true	tmb_bone_giant		true	false		420.0	1280.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false	
nag_bombardment_targeting		0	warmachine	3	false	nag_bombardment_targeting	1	0	1600	wh_main_shp_transport	1	1	1	0	0			400	very_heavy		false	false	0	8669745877	true		wh_main_vo_culture_Vampire	magic_chariot	magic_chariot	5	true	tmb_bone_giant		true	false		420.0	1280.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false	
