building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
nag_outpostnorsca_secondary_main_1	wh_main_effect_economy_gdp_culture	building_to_building_own	50.0	25.0	0.0
nag_outpostnorsca_secondary_main_coast_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	4.0	1.0	1.0
nag_outpostnorsca_secondary_main_coast_1	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2.0	1.0	0.0
nag_outpostnorsca_secondary_main_coast_1	wh_main_effect_construction_slot_dummy	this_building	2.0	2.0	2.0
nag_outpostnorsca_secondary_main_coast_1	wh_main_effect_economy_gdp_culture	building_to_building_own	50.0	25.0	0.0
nag_outpost_main_port_1	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	75.0	35.0	0.0
nag_outpost_primary_research_1	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	5.0	0.0	0.0
nag_outpost_primary_research_1	wh_main_effect_military_force_winds_of_magic_starting_mod	province_to_force_own_provincewide	15.0	5.0	0.0
nag_outpost_primary_research_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	3.0	1.0	0.0
nag_outpost_primary_arcane_1	wh_main_effect_force_all_campaign_upkeep	building_to_force_own_factionwide	-1.0	-1.0	0.0
nag_outpost_primary_arcane_1	wh_main_effect_force_all_campaign_post_battle_loot_mod	building_to_force_own_provincewide	5.0	2.0	0.0
nag_outpost_primary_arcane_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	3.0	1.0	0.0
nag_outpost_primary_support_1	nag_effect_patrol_dummy	building_to_building_own	1.0	0.0	0.0
nag_outpost_primary_support_1	wh_main_effect_force_unit_stat_melee_defence	building_to_force_own_provincewide	8.0	4.0	0.0
nag_outpost_primary_support_1	wh_main_effect_force_army_battle_melee_attack_all	building_to_force_own_provincewide	8.0	4.0	0.0
nag_outpost_primary_support_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	3.0	1.0	0.0
nag_outpost_primary_nehek_1	nag_effect_unit_cap_nehekhara_warriors_0	faction_to_faction_own_unseen	3.0	1.0	0.0
nag_outpost_primary_nehek_1	nag_effect_unit_cap_tomb_guard_0	faction_to_faction_own_unseen	2.0	1.0	0.0
nag_outpost_primary_nehek_1	nag_effect_unit_cap_tomb_guard_1	faction_to_faction_own_unseen	2.0	1.0	0.0
nag_outpost_primary_nehek_1	nag_effect_unit_cap_nehekhara_horsemen_0	faction_to_faction_own_unseen	3.0	1.0	0.0
nag_outpost_primary_nehek_1	nag_effect_unit_cap_khemrian_warsphinx_0	faction_to_faction_own_unseen	1.0	1.0	0.0
nag_outpost_primary_nehek_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	3.0	1.0	0.0
nag_outpost_primary_nagashizzar_1	nag_effect_unit_cap_nagashi_guard	faction_to_faction_own_unseen	2.0	1.0	0.0
nag_outpost_primary_nagashizzar_1	nag_effect_unit_cap_nagashi_guard_halb	faction_to_faction_own_unseen	2.0	1.0	0.0
nag_outpost_primary_nagashizzar_1	nag_effect_unit_cap_bone_golems	faction_to_faction_own_unseen	2.0	1.0	0.0
nag_outpost_primary_nagashizzar_1	nag_effect_unit_cap_morghasts	faction_to_faction_own_unseen	1.0	1.0	0.0
nag_outpost_primary_nagashizzar_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	3.0	1.0	0.0
nag_outpost_primary_coast_1	nag_effect_unit_cap_zombie_gunnery_mob_1	faction_to_faction_own_unseen	3.0	1.0	0.0
nag_outpost_primary_coast_1	nag_effect_unit_cap_deck_gunners_0	faction_to_faction_own_unseen	2.0	1.0	0.0
nag_outpost_primary_coast_1	nag_effect_unit_cap_depth_guard_0	faction_to_faction_own_unseen	1.0	1.0	0.0
nag_outpost_primary_coast_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	3.0	1.0	0.0
nag_outpost_primary_count_1	nag_effect_unit_cap_grave_guard_0	faction_to_faction_own_unseen	3.0	1.0	0.0
nag_outpost_primary_count_1	nag_effect_unit_cap_grave_guard_1	faction_to_faction_own_unseen	3.0	1.0	0.0
nag_outpost_primary_count_1	nag_effect_unit_cap_black_knights_0	faction_to_faction_own_unseen	2.0	1.0	0.0
nag_outpost_primary_count_1	nag_effect_unit_cap_black_knights_3	faction_to_faction_own_unseen	2.0	1.0	0.0
nag_outpost_primary_count_1	nag_effect_unit_cap_vargheists	faction_to_faction_own_unseen	2.0	1.0	0.0
nag_outpost_primary_count_1	nag_effect_unit_cap_blood_knights_0	faction_to_faction_own_unseen	1.0	1.0	0.0
nag_outpost_primary_count_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	3.0	1.0	0.0
nag_outpost_primary_warpstone_1	nag_effect_warpstone_token	faction_to_faction_own	1.0	0.0	0.0
nag_outpost_primary_warpstone_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	3.0	1.0	0.0
nag_outpost_secondary_fields_1	wh_main_effect_force_all_campaign_replenishment_rate_horde	region_to_character_own	15.0	0.0	0.0
nag_outpost_secondary_corruption_1	wh_main_effect_religion_conversion_undeath	province_to_regions_own_in_adjacent_province	5.0	2.0	0.0
nag_outpost_secondary_syphon_1	wh2_main_effect_force_enemy_campaign_movement_range	region_to_force_enemy	-20.0	-10.0	0.0
nag_outpost_secondary_syphon_1	wh_main_effect_force_unit_stat_morale	building_to_forces_enemy_regionwide	-8.0	-4.0	0.0
nag_outpost_secondary_energy_1	wh_main_effect_economy_gdp_culture	building_to_building_own	75.0	35.0	0.0
