building	effect	effect_scope	value	value_damaged	value_ruined
nag_outpost_primary_main_black_crag_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_black_crag_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_black_crag_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_black_crag_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_black_crag_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_castle_drakenhof_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_castle_drakenhof_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_castle_drakenhof_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_castle_drakenhof_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_castle_drakenhof_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_castle_drakenhof_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_castle_drakenhof_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_castle_drakenhof_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_castle_drakenhof_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_coast_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_coast_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_coast_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_coast_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_coast_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_coast_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_coast_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_coast_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_coast_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_couronne_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_couronne_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_couronne_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_couronne_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_couronne_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_couronne_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_couronne_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_couronne_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_couronne_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_eight_peaks_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_eight_peaks_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_eight_peaks_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_eight_peaks_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_eight_peaks_4	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_eight_peaks_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_eight_peaks_5	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_eight_peaks_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_elven_colony_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_elven_colony_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_elven_colony_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_elven_colony_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_elven_colony_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_elven_colony_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_elven_colony_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_elven_colony_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_elven_colony_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_empire_fort_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_empire_fort_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_empire_fort_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_empire_fort_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_empire_fort_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_empire_fort_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_empire_fort_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_empire_fort_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_empire_fort_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_eagle_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_eagle_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_fortress_gate_eagle_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_eagle_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_fortress_gate_eagle_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_eagle_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_fortress_gate_eagle_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_eagle_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_fortress_gate_eagle_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_griffon_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_griffon_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_fortress_gate_griffon_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_griffon_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_fortress_gate_griffon_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_griffon_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_fortress_gate_griffon_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_griffon_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_fortress_gate_griffon_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_phoenix_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_phoenix_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_fortress_gate_phoenix_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_phoenix_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_fortress_gate_phoenix_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_phoenix_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_fortress_gate_phoenix_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_phoenix_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_fortress_gate_phoenix_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_unicorn_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_unicorn_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_fortress_gate_unicorn_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_unicorn_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_fortress_gate_unicorn_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_unicorn_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_fortress_gate_unicorn_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_fortress_gate_unicorn_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_fortress_gate_unicorn_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_gaean_vale_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_gaean_vale_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_gaean_vale_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_gaean_vale_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_gaean_vale_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_gaean_vale_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_gaean_vale_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_gaean_vale_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_gaean_vale_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_galleons_graveyard_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_galleons_graveyard_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_galleons_graveyard_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_galleons_graveyard_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_galleons_graveyard_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_galleons_graveyard_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_galleons_graveyard_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_galleons_graveyard_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_galleons_graveyard_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hellpit_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hellpit_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_hellpit_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hellpit_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_hellpit_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hellpit_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_hellpit_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hellpit_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_hellpit_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hexoatl_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hexoatl_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_hexoatl_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hexoatl_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_hexoatl_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hexoatl_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_hexoatl_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_hexoatl_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_hexoatl_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_itza_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_itza_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_itza_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_itza_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_itza_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_itza_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_itza_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_itza_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_itza_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_karaz_a_karak_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_karaz_a_karak_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_karaz_a_karak_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_karaz_a_karak_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_karaz_a_karak_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_karaz_a_karak_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_karaz_a_karak_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_karaz_a_karak_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_karaz_a_karak_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_khemri_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_khemri_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_khemri_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_khemri_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_khemri_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_khemri_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_khemri_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_khemri_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_khemri_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_kislev_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_kislev_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_kislev_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_kislev_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_kislev_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_kislev_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_kislev_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_kislev_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_kislev_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_konquata_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_konquata_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_konquata_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_konquata_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_konquata_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_konquata_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_konquata_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_konquata_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_konquata_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_lahmia_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_lahmia_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_lahmia_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_lahmia_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_lahmia_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_lahmia_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_lahmia_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_lahmia_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_lahmia_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_lothern_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_lothern_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_lothern_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_lothern_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_lothern_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_lothern_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
