override_faction	override_subculture	source_resource	target_resource
	wh_main_sc_chs_chaos	res_nag_nehek	
	wh_main_sc_dwf_dwarfs	res_nag_nehek	
	wh_main_sc_emp_empire	res_nag_nehek	
	wh_main_sc_grn_greenskins	res_nag_nehek	
	wh_main_sc_grn_savage_orcs	res_nag_nehek	
	wh_main_sc_ksl_kislev	res_nag_nehek	
	wh_main_sc_nor_norsca	res_nag_nehek	
	wh_main_sc_teb_teb	res_nag_nehek	
	wh_main_sc_vmp_vampire_counts	res_nag_nehek	
	wh2_dlc09_sc_tmb_tomb_kings	res_nag_nehek	
	wh2_dlc11_sc_cst_vampire_coast	res_nag_nehek	
	wh2_main_sc_def_dark_elves	res_nag_nehek	
	wh2_main_sc_hef_high_elves	res_nag_nehek	
	wh2_main_sc_lzd_lizardmen	res_nag_nehek	
	wh2_main_sc_skv_skaven	res_nag_nehek	
	wh_dlc03_sc_bst_beastmen	res_nag_warpstone	
	wh_dlc05_sc_wef_wood_elves	res_nag_warpstone	
	wh_main_sc_brt_bretonnia	res_nag_warpstone	
	wh_main_sc_chs_chaos	res_nag_warpstone	
	wh_main_sc_dwf_dwarfs	res_nag_warpstone	
	wh_main_sc_emp_empire	res_nag_warpstone	
	wh_main_sc_grn_greenskins	res_nag_warpstone	
	wh_main_sc_grn_savage_orcs	res_nag_warpstone	
	wh_main_sc_ksl_kislev	res_nag_warpstone	
	wh_main_sc_nor_norsca	res_nag_warpstone	
	wh_main_sc_teb_teb	res_nag_warpstone	
	wh_main_sc_vmp_vampire_counts	res_nag_warpstone	
	wh2_dlc09_sc_tmb_tomb_kings	res_nag_warpstone	
	wh2_dlc11_sc_cst_vampire_coast	res_nag_warpstone	
	wh2_main_sc_def_dark_elves	res_nag_warpstone	
	wh2_main_sc_hef_high_elves	res_nag_warpstone	
	wh2_main_sc_lzd_lizardmen	res_nag_warpstone	
	wh2_main_sc_skv_skaven	res_nag_warpstone	
