key	cast_time	completion_payload	cooldown_time	category	slave_cost	global_cooldown_time	start_payload	icon	failure_cooldown_time	required_resources	expended_resources	target	target_expended_resources	target_required_resources	target_cooldown	target_category_cooldown	effects_while_performing	custom_cost_id	on_trigger_vo_event	flags	self_payload	percentage_cost_increase_per_use	sort_order
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_heart_of_the_jungle_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_oreons_camp	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_jungles_of_chian	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_jungles_of_chian	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_jungles_of_chian_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_jungles_of_chian	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_laurelorn_forest	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_laurelorn_forest	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_laurelorn_forest_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_laurelorn_forest	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_oak_of_ages	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_oak_of_ages	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_oak_of_ages_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_oak_of_ages	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_haunted_forest	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_haunted_forest	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_haunted_forest_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_haunted_forest	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_sacred_pools	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_sacred_pools	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_sacred_pools_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_sacred_pools	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_witchwood	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_witchwood	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_witchwood_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_the_witchwood	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_far_place	0	cr_ostankya_teleport_cr_combi_region_elithis_2_1	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_far_place_empowered	0	cr_ostankya_teleport_cr_combi_region_elithis_2_1	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
rhox_nagash_kalledria_ritual_hex_3	0	rhox_nagash_kalledria_ritual_hex_3	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_recreant_spirit.png	0		wh3_dlc24_resource_cost_ksl_hex_3	ritual_target_region_enemy			0	0				default		0.0000	0
rhox_nagash_kalledria_ritual_hex_3_empowered	0	rhox_nagash_kalledria_ritual_hex_3_empowered	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_recreant_spirit.png	0		wh3_dlc24_resource_cost_ksl_hex_3_empowered	ritual_target_region_enemy			0	0				default		0.0000	0
rhox_nagash_kalledria_ritual_hex_4	0	wh3_dlc24_ritual_ksl_hex_4	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_bewitching_allure.png	0		wh3_dlc24_resource_cost_ksl_hex_4	ritual_target_region_enemy			0	0				default		0.0000	0
rhox_nagash_kalledria_ritual_hex_4_empowered	0	wh3_dlc24_ritual_ksl_hex_4_empowered	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_bewitching_allure.png	0		wh3_dlc24_resource_cost_ksl_hex_4_empowered	ritual_target_region_enemy			0	0				default		0.0000	0
rhox_nagash_kalledria_ritual_hex_5	0	rhox_nagash_kalledria_ritual_hex_5	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_purification_chant.png	0		wh3_dlc24_resource_cost_ksl_hex_5	ritual_target_region_own			0	0				default		0.0000	0
rhox_nagash_kalledria_ritual_hex_5_empowered	0	rhox_nagash_kalledria_ritual_hex_5_empowered	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_purification_chant.png	0		wh3_dlc24_resource_cost_ksl_hex_5_empowered	ritual_target_region_own			0	0				default		0.0000	0
rhox_nagash_kalledria_ritual_hex_6	0	rhox_nagash_kalledria_ritual_hex_6	10	KALLEDRIA_HEX_RITUAL	0	0		UI/skins/default/dlc24_witchs_hexes/icon_hexes_malediction_of_ruin.png	0		wh3_dlc24_resource_cost_ksl_hex_6	ritual_target_faction_all			0	0				default		0.0000	0
