campaign_group	effect_bundle	effect_type
nag_grand_spell_02_16	nag_grand_spell_02_16	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_17	nag_grand_spell_02_17	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_18	nag_grand_spell_02_18	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_19	nag_grand_spell_02_19	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_20	nag_grand_spell_02_20	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_0	nag_grand_spell_03_0	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_1	nag_grand_spell_03_1	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_2	nag_grand_spell_03_2	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_3	nag_grand_spell_03_3	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_4	nag_grand_spell_03_4	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_5	nag_grand_spell_03_5	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_6	nag_grand_spell_03_6	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_7	nag_grand_spell_03_7	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_8	nag_grand_spell_03_8	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_9	nag_grand_spell_03_9	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_10	nag_grand_spell_03_10	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_11	nag_grand_spell_03_11	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_12	nag_grand_spell_03_12	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_13	nag_grand_spell_03_13	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_14	nag_grand_spell_03_14	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_15	nag_grand_spell_03_15	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_16	nag_grand_spell_03_16	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_17	nag_grand_spell_03_17	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_18	nag_grand_spell_03_18	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_19	nag_grand_spell_03_19	PERCENTAGE_OF_CAPACITY
nag_grand_spell_03_20	nag_grand_spell_03_20	PERCENTAGE_OF_CAPACITY
