Loc PackedFile	1
building_chains_chain_tooltip_nag_nagash_horde_special	[PH]	true
building_chains_chain_tooltip_nag_arkhan_horde_special	[PH]	true
building_chains_chain_tooltip_nag_vlad_horde_special	[PH]	true
building_chains_chain_tooltip_nag_neffy_horde_special	[PH]	true
building_chains_chain_tooltip_nag_manny_horde_special	[PH]	true
building_chains_chain_tooltip_nag_krell_horde_special	[PH]	true
building_chains_chain_tooltip_nag_luthor_horde_special	[PH]	true
building_chains_chain_tooltip_nag_nagash_horde_landmark	[PH] Nagash Landmark	true
building_chains_chain_tooltip_nag_arkhan_horde_landmark	[PH] Arkhan Landmark	true
building_chains_chain_tooltip_nag_vlad_horde_landmark	[PH]	true
building_chains_chain_tooltip_nag_neffy_horde_landmark	[PH]	true
building_chains_chain_tooltip_nag_manny_horde_landmark	[PH]	true
building_chains_chain_tooltip_nag_krell_horde_landmark	[PH]	true
building_chains_chain_tooltip_nag_luthor_horde_landmark	[PH]	true
building_chains_chain_tooltip_nag_horde_military1_barracks	[PH]	true
building_chains_chain_tooltip_nag_horde_military2_stables	[PH]	true
building_chains_chain_tooltip_nag_horde_military3_warmachines	[PH]	true
building_chains_chain_tooltip_nag_horde_military4_monsters	[PH]	true
building_chains_chain_tooltip_nag_horde_support1_smith	[PH]	true
building_chains_chain_tooltip_nag_horde_support2_worship	[PH]	true
building_chains_chain_tooltip_nag_horde_support3_wizards	[PH]	true
building_chains_chain_tooltip_nag_horde_infrastructure1_growth	[PH]	true
building_chains_chain_tooltip_nag_horde_infrastructure2_industry	[PH]	true
building_chains_chain_tooltip_nag_horde_infrastructure3_energy	[PH]	true
building_chains_chain_tooltip_nag_horde_infrastructure4_other	[PH]	true
building_chains_chain_tooltip_nag_subhorde_main	[PH]	true
building_chains_chain_tooltip_nag_subhorde_military1_barracks	[PH]	true
building_chains_chain_tooltip_nag_subhorde_military2_stables	[PH]	true
building_chains_chain_tooltip_nag_subhorde_military3_warmachines	[PH]	true
building_chains_chain_tooltip_nag_subhorde_military4_monsters	[PH]	true
building_chains_chain_tooltip_nag_subhorde_support2_worship	[PH]	true
building_chains_chain_tooltip_nag_subhorde_infrastructure1_growth	[PH]	true
building_chains_chain_tooltip_nag_subhorde_infrastructure2_industry	[PH]	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_altdorf_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_athel_loren_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_black_crag_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_castle_drakenhof_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_couronne_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_eight_peaks_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_gaean_vale_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_hexoatl_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_itza_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_karaz_a_karak_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_khemri_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_kislev_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_konquata_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_lahmia_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_lothern_nag	Defiled Shores	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_miragliano_nag	Defiled Shores	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_naggarond_nag	Defiled Shores	true
building_chains_chain_tooltip_wh2_dlc09_special_settlement_pyramid_of_nagash_nag	The Great Mortis River	true
building_chains_chain_tooltip_wh2_dlc15_special_morgheim_necropolis_nag	Ancient Ruins	true
building_chains_chain_tooltip_wh2_dlc15_special_settlement_massif_orcal_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_dlc15_special_settlement_tor_yvresse_nag	Defiled Shores	true
building_chains_chain_tooltip_wh2_main_special_galbaraz_mourkain_nag	Ancient Ruins	true
building_chains_chain_tooltip_wh2_main_special_settlement_sartosa_nag	Defiled Shores	true
building_chains_chain_tooltip_wh2_main_special_settlement_the_awakening_nag	Defiled Shores	true
building_chains_chain_tooltip_wh2_dlc11_special_settlement_galleons_graveyard_nag	Defiled Shores	true
building_chains_chain_tooltip_wh2_main_special_settlement_hellpit_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_main_special_settlement_skavenblight_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_main_special_empire_fort_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_main_special_fortress_gate_eagle_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_main_special_fortress_gate_griffon_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_main_special_fortress_gate_phoenix_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_main_special_fortress_gate_unicorn_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_main_special_settlement_colony_major_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh2_main_special_settlement_colony_minor_nag	Defiled Grounds	true
building_chains_chain_tooltip_wh_dlc05_wef_oak_of_ages_nag	Dhar Empowered Ogham Stones	true
building_chains_chain_tooltip_wh2_twa03_special_ogham_stones_nag	Ruined Ogham Stones	true
building_chains_chain_tooltip_wh2_dlc14_special_dragon_isle_port_nag	Ferryman's Crossing	true
building_chains_chain_tooltip_wh2_dlc14_special_copher_port_nag	Ferryman's Crossing	true
building_chains_chain_tooltip_wh_main_bretonnia_legendary_bordeleaux_nag	Ferryman's Crossing	true
building_chains_chain_tooltip_wh_main_special_erengrad_port_nag	Ferryman's Crossing	true
building_chains_chain_tooltip_wh_main_special_marienburg_port_nag	Ferryman's Crossing	true
building_chains_chain_tooltip_wh_twa03_special_albion_port_nag	Ferryman's Crossing	true
