Loc PackedFile	1
building_short_description_texts_short_description_nag_bpyramid_support5_extra_3	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure1_growth_1	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure1_growth_2	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure1_growth_3	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure1_growth_4	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure2_industry_1	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure2_industry_2	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure2_industry_3	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure3_energy_1	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure3_energy_2	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure3_energy_3	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure3_energy_4	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure4_other_1	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure4_other_2	[PH]	true
building_short_description_texts_short_description_nag_bpyramid_infrastructure4_other_3	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_main_ruin	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_main_coast_ruin	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_main_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_main_1_coast	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_research_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_arcane_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_support_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_nehek_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_nagashizzar_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_coast_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_count_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_primary_warpstone_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_secondary_ruin	[PH]	true
building_short_description_texts_short_description_nag_outpost_secondary_coast_ruin	[PH]	true
building_short_description_texts_short_description_nag_outpost_secondary_main_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_secondary_main_1_coast	[PH]	true
building_short_description_texts_short_description_nag_outpost_secondary_fields_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_secondary_corruption_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_secondary_syphon_1	[PH]	true
building_short_description_texts_short_description_nag_outpost_secondary_energy_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_altdorf_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_athel_loren_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_black_crag_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_castle_drakenhof_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_couronne_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_eight_peaks_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_gaean_vale_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_hexoatl_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_itza_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_karaz_a_karak_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_khemri_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_kislev_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_konquata_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_lahmia_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_lothern_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_miragliano_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_naggarond_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc09_special_settlement_pyramid_of_nagash_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc15_special_settlement_massif_orcal_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc15_special_settlement_tor_yvresse_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_settlement_sartosa_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_settlement_the_awakening_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc11_special_settlement_galleons_graveyard_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_settlement_hellpit_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_settlement_skavenblight_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_empire_fort_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_fortress_gate_eagle_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_fortress_gate_griffon_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_fortress_gate_phoenix_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_fortress_gate_unicorn_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_settlement_colony_major_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_settlement_colony_minor_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_wef_oak_of_ages_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_main_special_galbaraz_mourkain_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_twa03_special_ogham_stones_nag_1	[PH]	true
building_short_description_texts_short_description_wh2_dlc14_special_dragon_isle_port_nag_1	[PH] Fake Landmark use regular Port Dewcription	true
building_short_description_texts_short_description_wh2_main_special_lothern_port_nag_1	[PH] Fake Landmark use regular Port Dewcription	true
building_short_description_texts_short_description_wh_main_special_erengrad_port_nag_1	[PH] Fake Landmark use regular Port Dewcription	true
building_short_description_texts_short_description_wh_main_special_marienburg_port_nag_1	[PH] Fake Landmark use regular Port Dewcription	true
building_short_description_texts_short_description_wh_twa03_special_albion_port_nag_1	[PH] Fake Landmark use regular Port Dewcription	true
building_short_description_texts_short_description_wh2_dlc14_special_copher_port_nag_1	[PH] Fake Landmark use regular Port Dewcription	true
building_short_description_texts_short_description_wh_main_brt_legendary_port_nag_1	[PH] Fake Landmark use regular Port Dewcription	true
building_short_description_texts_short_description_nag_nagash_horde_special_1	[PH]	true
building_short_description_texts_short_description_nag_nagash_horde_special_2	[PH]	true
building_short_description_texts_short_description_nag_nagash_horde_special_3	[PH]	true
building_short_description_texts_short_description_nag_nagash_horde_special_4	[PH]	true
building_short_description_texts_short_description_nag_nagash_horde_special_5	[PH]	true
building_short_description_texts_short_description_nag_arkhan_horde_special_1	[PH]	true
building_short_description_texts_short_description_nag_arkhan_horde_special_2	[PH]	true
building_short_description_texts_short_description_nag_arkhan_horde_special_3	[PH]	true
building_short_description_texts_short_description_nag_arkhan_horde_special_4	[PH]	true
building_short_description_texts_short_description_nag_arkhan_horde_special_5	[PH]	true
building_short_description_texts_short_description_nag_vlad_horde_special_1	[PH]	true
building_short_description_texts_short_description_nag_vlad_horde_special_2	[PH]	true
building_short_description_texts_short_description_nag_vlad_horde_special_3	[PH]	true
building_short_description_texts_short_description_nag_vlad_horde_special_4	[PH]	true
building_short_description_texts_short_description_nag_vlad_horde_special_5	[PH]	true
building_short_description_texts_short_description_nag_neffy_horde_special_1	[PH]	true
building_short_description_texts_short_description_nag_neffy_horde_special_2	[PH]	true
building_short_description_texts_short_description_nag_neffy_horde_special_3	[PH]	true
building_short_description_texts_short_description_nag_neffy_horde_special_4	[PH]	true
building_short_description_texts_short_description_nag_neffy_horde_special_5	[PH]	true
building_short_description_texts_short_description_nag_manny_horde_special_1	[PH]	true
building_short_description_texts_short_description_nag_manny_horde_special_2	[PH]	true
building_short_description_texts_short_description_nag_manny_horde_special_3	[PH]	true
building_short_description_texts_short_description_nag_manny_horde_special_4	[PH]	true
building_short_description_texts_short_description_nag_manny_horde_special_5	[PH]	true
building_short_description_texts_short_description_nag_krell_horde_special_1	[PH]	true
building_short_description_texts_short_description_nag_krell_horde_special_2	[PH]	true
building_short_description_texts_short_description_nag_krell_horde_special_3	[PH]	true
building_short_description_texts_short_description_nag_krell_horde_special_4	[PH]	true
building_short_description_texts_short_description_nag_krell_horde_special_5	[PH]	true
building_short_description_texts_short_description_nag_luthor_horde_special_1	[PH]	true
building_short_description_texts_short_description_nag_luthor_horde_special_2	[PH]	true
building_short_description_texts_short_description_nag_luthor_horde_special_3	[PH]	true
building_short_description_texts_short_description_nag_luthor_horde_special_4	[PH]	true
building_short_description_texts_short_description_nag_luthor_horde_special_5	[PH]	true
building_short_description_texts_short_description_nag_nagash_horde_landmark_0	[PH]	true
building_short_description_texts_short_description_nag_nagash_horde_landmark_1	[PH]	true
building_short_description_texts_short_description_nag_arkhan_horde_landmark_0	[PH]	true
building_short_description_texts_short_description_nag_arkhan_horde_landmark_1	[PH]	true
building_short_description_texts_short_description_nag_vlad_horde_landmark_0	[PH]	true
building_short_description_texts_short_description_nag_vlad_horde_landmark_1	[PH]	true
building_short_description_texts_short_description_nag_neffy_horde_landmark_0	[PH]	true
building_short_description_texts_short_description_nag_neffy_horde_landmark_1	[PH]	true
building_short_description_texts_short_description_nag_manny_horde_landmark_0	[PH]	true
building_short_description_texts_short_description_nag_manny_horde_landmark_1	[PH]	true
building_short_description_texts_short_description_nag_krell_horde_landmark_0	[PH]	true
building_short_description_texts_short_description_nag_krell_horde_landmark_1	[PH]	true
building_short_description_texts_short_description_nag_luthor_horde_landmark_0	[PH]	true
building_short_description_texts_short_description_nag_luthor_horde_landmark_1	[PH]	true
building_short_description_texts_short_description_nag_horde_military1_barracks_1	[PH]	true
building_short_description_texts_short_description_nag_horde_military1_barracks_2	[PH]	true
building_short_description_texts_short_description_nag_horde_military1_barracks_3	[PH]	true
building_short_description_texts_short_description_nag_horde_military1_barracks_4	[PH]	true
building_short_description_texts_short_description_nag_horde_military2_stables_1	[PH]	true
building_short_description_texts_short_description_nag_horde_military2_stables_2	[PH]	true
building_short_description_texts_short_description_nag_horde_military2_stables_3	[PH]	true
building_short_description_texts_short_description_nag_horde_military2_stables_4	[PH]	true
building_short_description_texts_short_description_nag_horde_military3_warmachines_1	[PH]	true
building_short_description_texts_short_description_nag_horde_military3_warmachines_2	[PH]	true
building_short_description_texts_short_description_nag_horde_military4_monsters_1	[PH]	true
building_short_description_texts_short_description_nag_horde_military4_monsters_2	[PH]	true
building_short_description_texts_short_description_nag_horde_military4_monsters_3	[PH]	true
building_short_description_texts_short_description_nag_horde_support1_smith_1	[PH]	true
building_short_description_texts_short_description_nag_horde_support1_smith_2	[PH]	true
building_short_description_texts_short_description_nag_horde_support2_worship_1	[PH]	true
building_short_description_texts_short_description_nag_horde_support2_worship_2	[PH]	true
building_short_description_texts_short_description_nag_horde_support2_worship_3	[PH]	true
building_short_description_texts_short_description_nag_horde_support3_wizards_1	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure1_growth_1	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure1_growth_2	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure1_growth_3	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure2_industry_1	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure2_industry_2	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure3_energy_1	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure3_energy_2	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure3_energy_3	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure4_other_1	[PH]	true
building_short_description_texts_short_description_nag_horde_infrastructure4_other_2	[PH]	true
building_short_description_texts_short_description_nag_subhorde_main_1	[PH]	true
building_short_description_texts_short_description_nag_subhorde_main_2	[PH]	true
building_short_description_texts_short_description_nag_subhorde_main_3	[PH]	true
building_short_description_texts_short_description_nag_subhorde_military1_barracks_1	[PH]	true
building_short_description_texts_short_description_nag_subhorde_military1_barracks_2	[PH]	true
building_short_description_texts_short_description_nag_subhorde_military1_barracks_3	[PH]	true
building_short_description_texts_short_description_nag_subhorde_military2_stables_1	[PH]	true
building_short_description_texts_short_description_nag_subhorde_military2_stables_2	[PH]	true
building_short_description_texts_short_description_nag_subhorde_military2_stables_3	[PH]	true
building_short_description_texts_short_description_nag_subhorde_military3_warmachines	[PH]	true
building_short_description_texts_short_description_nag_subhorde_military4_monsters	[PH]	true
building_short_description_texts_short_description_nag_subhorde_support2_worship_1	[PH]	true
building_short_description_texts_short_description_nag_subhorde_support2_worship_2	[PH]	true
building_short_description_texts_short_description_nag_subhorde_infrastructure1_growth_1	[PH]	true
building_short_description_texts_short_description_nag_subhorde_infrastructure1_growth_2	[PH]	true
building_short_description_texts_short_description_nag_subhorde_infrastructure2_industry_1	[PH]	true
building_short_description_texts_short_description_nag_subhorde_infrastructure2_industry_2	[PH]	true
building_short_description_texts_short_description_nag_settlement_cavalry_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_cavalry_2	[PH]	true
building_short_description_texts_short_description_nag_settlement_cavalry_3	[PH]	true
building_short_description_texts_short_description_nag_settlement_cavalry_4	[PH]	true
building_short_description_texts_short_description_nag_settlement_chariots_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_chariots_2	[PH]	true
building_short_description_texts_short_description_nag_settlement_chariots_3	[PH]	true
building_short_description_texts_short_description_nag_settlement_citadel_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_estate_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_growth_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_growth_2	[PH]	true
building_short_description_texts_short_description_nag_settlement_growth_3	[PH]	true
building_short_description_texts_short_description_nag_settlement_hierotitan_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_income_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_income_2	[PH]	true
building_short_description_texts_short_description_nag_settlement_income_3	[PH]	true
building_short_description_texts_short_description_nag_settlement_infantry_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_infantry_2	[PH]	true
building_short_description_texts_short_description_nag_settlement_infantry_3	[PH]	true
building_short_description_texts_short_description_nag_settlement_necrosphinx_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_scorpions_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_ushabti_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_ushabti_2	[PH]	true
building_short_description_texts_short_description_nag_settlement_walls_1	[PH]	true
building_short_description_texts_short_description_nag_settlement_walls_2	[PH]	true
building_short_description_texts_short_description_nag_settlement_walls_3	[PH]	true
building_short_description_texts_short_description_nag_settlement_warsphinx_1	[PH]	true
