granted_ancillary	skill	level
nag_anc_mount_cst_gunnery_wight_rotting_promethean	nag_cst_engineer_unique_gunnery_wight_rotting_pro	1
mixu_vmp_dieter_helsnicht_weapon_chaos_runesword	nag_skill_vmp_dieter_helsnicht_item_01	1
mixu_vmp_dieter_helsnicht_arcane_item_staff_of_flaming_death	nag_skill_vmp_dieter_helsnicht_item_02	1
nag_anc_armour_azhags_ard_armour	nag_skill_azhag_anc_armour_azhags_ard_armour	1
nag_anc_enchanted_item_the_crown_of_sorcery	nag_skill_azhag_anc_enchanted_item_the_crown_of_sorcery	1
nag_anc_weapon_slaggas_slashas	nag_skill_azhag_anc_weapon_slaggas_slashas	1
nag_anc_mount_vmp_master_necromancer_barded_nightmare	nag_lord_unique_vmp_master_necromancer_barded_nightmare	1
nag_anc_mount_vmp_master_necromancer_hellsteed	nag_lord_unique_vmp_master_necromancer_hellsteed	1
nag_anc_mount_vmp_master_necromancer_corpse_cart	nag_lord_unique_master_necromancer_corpse_cart	1
nag_anc_mount_vmp_master_necromancer_corpse_cart_balefire	nag_lord_unique_master_necromancer_corpse_cart_balefire	1
nag_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone	nag_lord_unique_master_necromancer_corpse_cart_unholy_lodestone	1
nag_anc_mount_vmp_vampire_lord_barded_nightmare	nag_lord_unique_vampire_lord_barded_nightmare	1
nag_anc_mount_vmp_vampire_lord_hellsteed	nag_lord_unique_vampire_lord_hellsteed	1
nag_anc_mount_vmp_vampire_lord_zombie_dragon	nag_lord_unique_vampire_lord_zombie_dragon	1
nag_Soulreaper	nag_Soulreaper	1
nag_elo_hand_punished_one	nag_elo_hand_punished_one	1
nag_elo_hungering_blade	nag_elo_hungering_blade	1
