key	building_level_key	building_model_id
nag_krell_horde_special_5	nag_krell_horde_special_5	nag_krell_horde_5
nag_luthor_horde_special_1	nag_luthor_horde_special_1	nag_luthor_horde_1
nag_luthor_horde_special_2	nag_luthor_horde_special_2	nag_luthor_horde_2
nag_luthor_horde_special_3	nag_luthor_horde_special_3	nag_luthor_horde_3
nag_luthor_horde_special_4	nag_luthor_horde_special_4	nag_luthor_horde_4
nag_luthor_horde_special_5	nag_luthor_horde_special_5	nag_luthor_horde_5
nag_subhorde_main_1	nag_subhorde_main_1	nag_subhorde_main_1
nag_subhorde_main_2	nag_subhorde_main_2	nag_subhorde_main_2
nag_subhorde_main_3	nag_subhorde_main_3	nag_subhorde_main_3
nag_bpyramid_main_1	nag_bpyramid_main_1	nag_bpyramid_1
nag_bpyramid_main_2	nag_bpyramid_main_2	nag_bpyramid_2
nag_bpyramid_main_3	nag_bpyramid_main_3	nag_bpyramid_3
nag_bpyramid_main_4	nag_bpyramid_main_4	nag_bpyramid_4
nag_bpyramid_main_5	nag_bpyramid_main_5	nag_bpyramid_5
nag_outpost_special_blackpyramid_1	nag_outpost_special_blackpyramid_1	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1
nag_outpost_special_blackpyramid_2	nag_outpost_special_blackpyramid_2	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2
nag_outpost_special_blackpyramid_3	nag_outpost_special_blackpyramid_3	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3
nag_dieter_horde_special_1	nag_dieter_horde_special_1	nag_dieter_horde_1
nag_dieter_horde_special_2	nag_dieter_horde_special_2	nag_dieter_horde_2
nag_dieter_horde_special_3	nag_dieter_horde_special_3	nag_dieter_horde_3
nag_dieter_horde_special_4	nag_dieter_horde_special_4	nag_dieter_horde_4
nag_dieter_horde_special_5	nag_dieter_horde_special_5	nag_dieter_horde_5
nag_azhag_horde_special_1	nag_azhag_horde_special_1	nag_azhag_horde_1
nag_azhag_horde_special_2	nag_azhag_horde_special_2	nag_azhag_horde_2
nag_azhag_horde_special_3	nag_azhag_horde_special_3	nag_azhag_horde_3
nag_azhag_horde_special_4	nag_azhag_horde_special_4	nag_azhag_horde_4
nag_azhag_horde_special_5	nag_azhag_horde_special_5	nag_azhag_horde_5
nag_dk_horde_special_1	nag_dk_horde_special_1	nag_dk_horde_1
nag_dk_horde_special_2	nag_dk_horde_special_2	nag_dk_horde_2
nag_dk_horde_special_3	nag_dk_horde_special_3	nag_dk_horde_3
nag_dk_horde_special_4	nag_dk_horde_special_4	nag_dk_horde_4
nag_dk_horde_special_5	nag_dk_horde_special_5	nag_dk_horde_5
nag_kalledria_horde_special_1	nag_kalledria_horde_special_1	nag_kalledria_horde_special_1
nag_kalledria_horde_special_2	nag_kalledria_horde_special_2	nag_kalledria_horde_special_2
nag_kalledria_horde_special_3	nag_kalledria_horde_special_3	nag_kalledria_horde_special_3
nag_kalledria_horde_special_4	nag_kalledria_horde_special_4	nag_kalledria_horde_special_4
nag_kalledria_horde_special_5	nag_kalledria_horde_special_5	nag_kalledria_horde_special_5
cr_nag_special_settlement_nagashizzar_1	cr_nag_special_settlement_nagashizzar_1	cr_nag_special_settlement_nagashizzar_1
cr_nag_special_settlement_nagashizzar_2	cr_nag_special_settlement_nagashizzar_2	cr_nag_special_settlement_nagashizzar_1
cr_nag_special_settlement_nagashizzar_3	cr_nag_special_settlement_nagashizzar_3	cr_nag_special_settlement_nagashizzar_1
cr_nag_special_settlement_nagashizzar_4	cr_nag_special_settlement_nagashizzar_4	cr_nag_special_settlement_nagashizzar_1
cr_nag_special_settlement_nagashizzar_5	cr_nag_special_settlement_nagashizzar_5	cr_nag_special_settlement_nagashizzar_1
cr_nag_special_settlement_nagashizzar_ruin	cr_nag_special_settlement_nagashizzar_ruin	cr_nag_special_settlement_nagashizzar_ruin
