key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost
nag_location_khemri			4	nag_location_khemri	nagash_tech	12	1	0	0	nag_tech_rituals	nag_ritual_mort
nag_location_awakening			5	nag_location_awakening	nagash_tech	12	1	0	0	nag_tech_rituals	nag_ritual_mort
nag_location_drakenhof			6	nag_location_drakenhof	nagash_tech	12	1	0	0	nag_tech_rituals	nag_ritual_mort
nag_location_quintex			7	nag_location_quintex	nagash_tech	12	1	0	0	nag_tech_rituals	nag_ritual_mort
nag_nagash_ultimate			4	nag_nagash_ultimate	nagash_tech	13	500	10000	0	nag_tech_rituals	
nag_neferata_battle_1			5	nag_neferata_battle_1	nagash_tech	9	200	0	0		
nag_neferata_battle_2			6	nag_neferata_battle_2	nagash_tech	9	200	0	0		
nag_neferata_battle_3			7	nag_neferata_battle_3	nagash_tech	9	200	0	0		
nag_mortarch_neferata_event_1			1	nag_mortarch_neferata_event_1	nagash_tech	9	1	0	0		
nag_mortarch_neferata_event_2			2	nag_mortarch_neferata_event_2	nagash_tech	9	1	1000	0		
nag_mortarch_neferata_event_3			3	nag_mortarch_neferata_event_3	nagash_tech	9	1	2500	0		
nag_mortarch_neferata_unlock			4	nag_mortarch_neferata_unlock	nagash_tech	8	1500	0	0		nag_ritual_mort
nag_neferata_proclamation			8	nag_neferata_proclamation	nagash_tech	8	1	5000	0		
nag_neferata_archai			0	nag_neferata_archai	nagash_tech	8	1	0	0		nag_ritual_archai
nag_vlad_battle_1			5	nag_vlad_battle_1	nagash_tech	11	200	0	0		
nag_vlad_battle_2			6	nag_vlad_battle_2	nagash_tech	11	200	0	0		
nag_vlad_battle_3			7	nag_vlad_battle_3	nagash_tech	11	200	0	0		
nag_mortarch_vlad_event_1			1	nag_mortarch_vlad_event_1	nagash_tech	11	1	0	0		
nag_mortarch_vlad_event_2			2	nag_mortarch_vlad_event_2	nagash_tech	11	1	1000	0		
nag_mortarch_vlad_event_3			3	nag_mortarch_vlad_event_3	nagash_tech	11	1	2500	0		
nag_mortarch_vlad_unlock			4	nag_mortarch_vlad_unlock	nagash_tech	10	1500	0	0		nag_ritual_mort
nag_vlad_proclamation			8	nag_vlad_proclamation	nagash_tech	10	1	5000	0		
nag_vlad_archai			0	nag_vlad_archai	nagash_tech	10	1	0	0		nag_ritual_archai
