key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	assume_specific_behaviour	clear_current_order	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	spawn_is_transformation	wind_down_stance	use_loop_stance	spawn_is_decoy	only_affect_owned_units	ability_available_ui_event	shared_recharge_time
nag_neferata_item_passive_dagger_of_jet	-1.0	-1.0	-1	30.0	true	0	0	false	-1.0		false	false	false	0.0		false	0.0	true	365884129				0.0	0.0	wh_abilities_generic_buff_no_ring					0.0					vo_battle_special_ability_generic_response	180.0	80.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_nagash_dark_riders	1.0	120.0	2	0.0	false	1	0	false	0.0		true	false	true	60.0		false	3.0	false	365884130		nag_cav_black_knights_0_summon	cast_up_medium	0.0	0.0	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0		threatened	wh_main_spell_vampires_raise_dead	dark_magic_medium	vo_battle_special_ability_raise_dead	81.0	81.0			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true			false		false	false	false		-1.0
nag_bound_spell_nagash_hand_of_dust	0.1	120.0	2	0.0	false	0	0	false	0.0	wh_main_spell_nagash_hand_of_dust	false	true	false	50.0		false	0.0	false	365884131			cast_forward_short	0.0	0.0	wh_spell_generic_bombardment	wh_spell_generic_bombardment	wh_spell_generic_bombardment_active			0.0		aoe_bombardment	wh2_main_spell_dark_magic_doombolt	dark_magic_long	vo_battle_special_ability_spell_cast_negative	0.0	245.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_nagash_breath_of_darkness	18.0	120.0	2	0.0	true	1	0	false	0.0		true	false	false	200.0		false	1.0	false	365884132			cast_forward_short	0.0	0.0	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring	wh_main_spell_nagash_breath_of_darkness			0.0		healing	wh_main_spell_vampires_invocation_of_nehek	dark_magic_short	vo_battle_special_ability_spell_cast_positive	40.0	40.0				false	false	true	true			false		false	false	false		-1.0
nag_bound_spell_nagash_abyssal_swarm	20.0	120.0	2	0.0	false	0	0	false	0.0		false	true	true	150.0		false	3.0	false	365884133			cast_up_long	0.0	20.0	wh_abilities_generic_breath	wh_abilities_generic_breath			wh_main_spell_nagash_abyssal_swarm	0.0		vortex_wind		dark_magic_long	vo_battle_special_ability_spell_cast_negative	0.0	236.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_nagash_soul_stealer	18.0	120.0	2	30.0	true	-1	-1	true	0.0		false	false	true	200.0		false	1.0	false	365884134			cast_forward_short	0.0	0.0	wh_abilities_generic_regeneration	wh_abilities_generic_regeneration			wh_main_spell_nagash_soul_stealer	0.0		healing_area	wh_main_spell_vampires_invocation_of_nehek_upgraded	vampires_short	vo_battle_special_ability_spell_cast_positive	40.0	40.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_death_purple_sun	11.0	120.0	2	0.0	false	0	0	false	0.0		false	true	true	150.0		false	5.0	false	365884135				0.0	0.0	wh_abilities_generic_vortex	wh_abilities_generic_vortex			wh_main_spell_death_the_purple_sun_of_xereus	0.0		vortex	wh_main_spell_death_the_purple_sun_of_xereus	death_long	vo_battle_special_ability_spell_cast_negative	0.0	250.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_light_banishment	17.0	120.0	2	0.0	false	0	0	false	0.0		false	true	true	150.0		false	5.0	false	365884136				0.0	0.0	wh_abilities_generic_vortex	wh_abilities_generic_vortex			wh2_main_bound_banishment	0.0		vortex	wh_main_spell_light_banishment	war_altar_light_long	vo_battle_special_ability_spell_cast_negative	0.0	200.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_light_phas_protection	22.0	29.0	-1	0.0	true	1	0	false	0.0		true	false	false	200.0		false	1.0	false	560			cast_up_short	0.0	0.0	wh_abilities_generic_buff_no_ring	wh_abilities_generic_buff_no_ring				0.0		augment_melee	wh_main_spell_light_phas_protection	light_short	vo_battle_special_ability_spell_cast_positive	67.0	33.0				false	false	true	true			false		false	false	false		-1.0
nag_bound_spell_vamp_wind_of_death	5.0	120.0	2	0.0	false	0	0	false	0.0		false	true	true	150.0		false	5.0	false	365884137			cast_up_long	0.0	0.0	wh_abilities_generic_wind	wh_abilities_generic_wind			wh_main_spell_vampires_wind_of_death	0.0		vortex_wind	wh_main_spell_vampires_wind_of_death	vampires_long	vo_battle_special_ability_spell_cast_negative	0.0	238.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_vamp_curse_of_years	32.0	47.0	-1	40.0	false	0	-1	true	0.0		false	true	true	200.0		false	5.0	false	586			cast_up_long	0.0	0.0	wh_abilities_generic_debuff	wh_abilities_generic_debuff	wh_abilities_generic_debuff			0.0		hex_melee_area	wh_main_spell_vampires_curse_of_years	vampires_long	vo_battle_special_ability_spell_cast_negative	120.0	80.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_deep_krakens_pull	30.0	49.0	2	0.0	false	0	1	false	0.0		false	true	true	200.0		false	5.0	false	365884139			cast_up_long	0.0	0.0	wh_abilities_generic_vortex	wh_abilities_generic_vortex			wh2_dlc11_spell_deep_krakens_pull_upgraded	0.5	wh_main_death_miscast	aoe	wh2_dlc11_spell_deep_krakens_pull_upgraded	deep_long	vo_battle_special_ability_spell_cast_wef_shadow	0.0	200.0				false	false	true	false			false		false	false	false		-1.0
nag_bound_spell_nehek_cursed_blades	25.0	28.0	2	0.0	true	1	0	false	0.0		true	false	false	200.0		false	1.0	false	365884140			cast_up_short	0.0	0.0	wh_abilities_generic_buff_no_ring	wh_abilities_generic_buff_no_ring				0.0		augment_melee	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	nehekhara_short	vo_battle_special_ability_spell_cast_tmb_augment	100.0	0.0				false	false	true	true			false		false	false	false		-1.0
nag_bound_spell_nehek_skullstorm	27.0	120.0	2	0.0	false	0	0	false	0.0		false	true	true	150.0		false	5.0	false	365884138			cast_up_long	0.0	0.0	wh_abilities_generic_vortex	wh_abilities_generic_vortex			wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	0.0		aoe	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	nehekhara_long	vo_battle_special_ability_spell_cast_tmb_vortex	0.0	200.0				false	false	true	false			false		false	false	false		-1.0
nag_nagash_abiliities_master_arcane_conduit	-1.0	-1.0	-1	0.0	true	0	0	false	-1.0		false	false	false	0.0		false	0.0	true	3694				0.0	0.0	wh_abilities_generic_buff_wom_no_ring					0.0					vo_battle_special_ability_generic_response	121.0	121.0				false	false	true	false			false		false	false	false		-1.0
