ability	effect
nag_bound_spell_nagash_hand_of_dust	wh_main_all_strong_against_single
nag_bound_spell_nagash_hand_of_dust	wh2_main_all_magical_damage_massive
nag_bound_spell_nagash_hand_of_dust	wh_main_all_good_vs_large
nag_bound_spell_nagash_breath_of_darkness	wh_main_all_replenish
nag_bound_spell_nagash_breath_of_darkness	wh_main_all_resurrect_hp
nag_bound_spell_nagash_abyssal_swarm	wh2_nagash_abyss_wolves
nag_bound_spell_nagash_abyssal_swarm	wh2_main_all_magical_damage_moderate
nag_bound_spell_nagash_abyssal_swarm	wh_main_all_can_disrupt_formation
nag_bound_spell_nagash_abyssal_swarm	wh_main_all_strong_against_units
nag_bound_spell_nagash_soul_stealer	wh_main_all_replenish
nag_bound_spell_nagash_soul_stealer	wh_main_bombardment_large_strike_aoe
nag_bound_spell_nagash_soul_stealer	wh_main_all_strong_against_unit
nag_bound_spell_nagash_soul_stealer	nag_aoe_damage_and_heal
nag_bound_spell_death_purple_sun	wh2_main_all_good_against_armour
nag_bound_spell_death_purple_sun	wh2_main_all_magical_damage_major
nag_bound_spell_death_purple_sun	wh2_main_spell_huge_vortex
nag_bound_spell_death_purple_sun	wh_main_all_can_disrupt_formation
nag_bound_spell_death_purple_sun	wh_main_all_strong_against_units
nag_bound_spell_light_banishment	wh2_main_all_good_against_armour
nag_bound_spell_light_banishment	wh2_main_all_magical_damage_moderate
nag_bound_spell_light_banishment	wh2_main_spell_huge_vortex
nag_bound_spell_light_banishment	wh_main_all_can_disrupt_formation
nag_bound_spell_light_banishment	wh_main_all_strong_against_units
nag_bound_spell_vamp_wind_of_death	wh2_main_all_good_against_armour
nag_bound_spell_vamp_wind_of_death	wh2_main_all_magical_damage_major
nag_bound_spell_vamp_wind_of_death	wh2_main_spell_medium_wind
nag_bound_spell_vamp_wind_of_death	wh_main_all_strong_against_units
nag_bound_spell_vamp_wind_of_death	wh_main_all_weak_against_single
nag_bound_spell_nehek_skullstorm	wh2_main_all_magical_damage_major
nag_bound_spell_nehek_skullstorm	wh2_main_spell_medium_vortex
nag_bound_spell_nehek_skullstorm	wh_main_all_strong_against_units
nag_bound_spell_nehek_skullstorm	wh_main_all_weak_against_single
nag_bound_spell_deep_krakens_pull	wh2_main_all_good_against_armour
nag_bound_spell_deep_krakens_pull	wh2_main_all_magical_damage_moderate
nag_bound_spell_deep_krakens_pull	wh2_main_spell_stationary_aoe
nag_bound_spell_deep_krakens_pull	wh_main_all_can_disrupt_formation
nag_bound_spell_deep_krakens_pull	wh_main_all_strong_against_units
nag_bound_spell_deep_krakens_pull	wh_main_spell_upgraded_duration
nag_arkhan_abilities_mortarch_of_sacraments_swarm	wh_main_all_direct_damage
nag_arkhan_abilities_mortarch_of_sacraments_swarm	wh_dlc08_direct_damage_medium_unit
nag_arkhan_abilities_mortarch_of_sacraments_swarm	wh_main_all_strong_against_multiple
nag_arkhan_abilities_mortarch_of_sacraments_swarm	wh_main_all_weak_against_single
nag_krell_passive_mortarch_of_despair	wh_main_all_replenish_burst
nag_krell_passive_mortarch_of_despair	nag_damage_enemy_wavering_commander
nag_neferata_passive_blood_queen	wh_main_all_replenish
nag_neferata_abilities_mortarch_of_blood_death	wh_main_all_direct_damage
nag_neferata_abilities_mortarch_of_blood_death	wh3_dlc24_executioner
nag_neferata_item_passive_staff_of_pain	wh_dlc05_spell_trigger_when_casting
nag_neferata_item_passive_staff_of_pain	wh_main_all_direct_damage
nag_army_abilities_endless_tomb	nag_summon_of_summon
nag_army_abilities_endless_tomb	wh_main_all_direct_damage_unbinding
nag_army_abilities_endless_tomb_hidden_raise_dead	nag_summon_of_summon
nag_army_abilities_blyramid_bombardment_targeting	wh2_main_army_ap_damage_explosion_ranged
nag_army_abilities_blyramid_bombardment_targeting	wh2_main_army_damage_explosion_ranged
nag_army_abilities_blyramid_bombardment_targeting	wh_main_all_magical
nag_army_abilities_blyramid_bombardment_targeting	wh_main_all_strong_against_units
nag_army_abilities_blyramid_bombardment_targeting	wh_main_all_weak_against_single
nag_nagash_abilities_master_arcane_conduit	wh_main_all_improved_recharge_rate
nag_nagash_abilities_master_arcane_conduit	nag_all_increased_max_power_very_high
nag_nagash_passive_death_magic_incarnate	wh_main_all_replenish_burst
nag_nagash_abilities_staff_of_power	wh_dlc04_all_increases_with_enemies_in_range
nag_nagash_abilities_staff_of_power	nag_all_reduced_recharge_rate_high_enemy
nag_unit_abilities_refuse_to_die	wh2_dlc12_refuse_to_die
nag_unit_abilities_feaster_of_souls	wh_main_all_replenish
nag_unit_passive_shade_haunt_vortex_visual_dummy	wh_main_all_strong_against_units
nag_unit_passive_spectre_swarm_vortex_visual_dummy	wh_main_all_strong_against_units
nag_unit_passive_grim_aura	nag_summon_reapers
nag_unit_passive_grim_aura	wh_dlc06_automatic
nag_unit_passive_grim_aura	wh_main_all_direct_damage_high
nag_unit_passive_grim_aura	wh_main_all_direct_damage_unbinding
nag_unit_passive_marshlight_aura	wh_main_all_direct_damage_resist
nag_unit_passive_marshlight_aura	nag_drain_essence
nag_luthor_harkon_carcinization	wh2_dlc11_summon_rotting_prometheans
nag_luthor_harkon_carcinization	wh_dlc06_automatic
nag_luthor_harkon_carcinization	wh_main_all_direct_damage_high
nag_luthor_harkon_carcinization	wh_main_all_direct_damage_unbinding
nag_unit_passive_zombie_battery	wh_main_all_replenish
nag_unit_passive_curse_quintex	wh2_main_all_magical_damage_moderate
nag_unit_passive_curse_quintex	wh2_main_spell_stationary_aoe
nag_unit_passive_curse_quintex	wh_dlc06_automatic
nag_endless_tomb_skeleton_unbinding	wh_main_all_direct_damage_unbinding
nag_azhag_abilities_reckless_whispers	wh3_dlc23_crooked_dice
nag_bound_spell_raise_dead_zombie	wh_main_all_defend_vs_charge
nag_bound_spell_raise_dead_zombie	nag_summon_zombies
nag_bound_spell_raise_dead_zombie	nag_no_binding
nag_bound_spell_raise_dead_reapers	wh_main_all_defend_vs_charge
nag_bound_spell_raise_dead_reapers	nag_summon_reapers
nag_bound_spell_raise_dead_reapers	nag_no_binding
nag_bound_spell_raise_dead_crypt_ghouls	wh_main_all_defend_vs_charge
nag_bound_spell_raise_dead_crypt_ghouls	nag_summon_crypt_ghouls
nag_bound_spell_raise_dead_crypt_ghouls	nag_no_binding
nag_bound_spell_raise_dead_cairn_wraiths	wh_main_all_defend_vs_charge
nag_bound_spell_raise_dead_cairn_wraiths	nag_summon_cairn_wraiths
nag_bound_spell_raise_dead_cairn_wraiths	nag_no_binding
nag_bound_spell_raise_dead_fell_bats	nag_attack_enemy_missile
nag_bound_spell_raise_dead_fell_bats	nag_summon_fell_bats
nag_bound_spell_raise_dead_fell_bats	nag_no_binding
nag_bound_spell_raise_dead_corpse_cart_balefire	nag_defend_frontline
nag_bound_spell_raise_dead_corpse_cart_balefire	nag_summon_corpse_cart_balefire
nag_bound_spell_raise_dead_corpse_cart_balefire	nag_no_binding
nag_bound_spell_raise_dead_corpse_cart_lodestone	nag_defend_frontline
nag_bound_spell_raise_dead_corpse_cart_lodestone	nag_summon_corpse_cart_lodestone
nag_bound_spell_raise_dead_corpse_cart_lodestone	nag_no_binding
nag_unit_passive_fresh_hunger	wh_main_all_replenish
nag_unit_passive_doom_of_nagashizzar	wh3_main_ability_intensity_kills
nag_unit_passive_doom_of_nagashizzar	nag_doom
nag_druthor_raise_dead_crypt_ghouls	wh_main_all_defend_vs_charge
nag_druthor_raise_dead_crypt_ghouls	nag_summon_crypt_ghouls
nag_druthor_raise_dead_crypt_ghouls	nag_no_binding
